source_file,title,company,industry,clouds_implemented,description,outcomes,links
10013864.md,Lloyds Banking Group - AI strategy through to practical AI integration delivering AI-enabled customer service to 15m customers,Lloyds Banking Group,"Banking, Financial Services",,"IBM partnered with Lloyds Banking Group to develop an end‚ to‚ end operating model that guided the bank from AI strategy through to implementation and ongoing operation of AI applications. The partnership focused on responsible, ethical and efficient AI use, establishing risk management guardrails, governance forums, demand and opportunity management, and a unified infrastructure and tooling stack. This framework enabled rapid experimentation, scaling and monitoring of AI solutions, culminating in the launch of an AI‚ enabled customer service capability that serves 15 million consumers.","[AI‚ enabled customer service launched to 15m customers, Improved market position through rapid adaptation to future customer needs, Established a scalable operating model for responsible AI use, Accelerated adoption of generative AI innovations]",[https://ibmgbs.loopio.com/library?entry=10013864]
10013865.md,"Multinational energy company - enabling repeatable, efficient deployment of AI projects to deliver multi-million dollar value",Unnamed multinational energy company,Energy,,"We have worked with this energy company for a number of years to deliver analytics and AI use cases and continue to work with them today. Over 10 use cases, including demand forecasting and broker quotes, have an identified value case of over $800m annually, and at least half of these have been deployed into production. The approach promoted safe and responsible AI use by implementing continuous monitoring of AI models and the creation of an automated workflow to alert AI product teams when the performance of the model‚  outputs fell below pre-agreed levels, for example. We also established effective programme management and governance to ensure the progression of the use cases through three layers of governance (product, value, technical), to ensure an appropriate level of oversight.","$800m annually identified value; at least 5 of 10 use cases deployed into production; improved AI maturity with repeatable delivery framework, continuous monitoring, and governance.",[https://ibmgbs.loopio.com/library?entry=10013865]
10013867.md,Large global bank - AI maturity assessment transforming how AI is delivered and governed,Global Bank (client),"Financial Services, Banking",,"Our engagement with a large global bank began when AI models were taking longer than 12 months to deploy, with 70% never reaching production and governance approvals requiring over three months. By conducting an AI maturity assessment using our AI at Scale method and partnering closely with the internal data science community, we created a roadmap of recommendations that accelerated model development from nine months to three months after implementation. The project focused on technology, operating model, and operations barriers, strengthening risk and compliance functions to promote responsible and ethical AI use through earlier engagement, end‚ to‚ end testing, and tooling options.","[Reduced model development time from 9 months to 3 months, Enabled a pipeline of  £50 million per annum in benefits]",[https://ibmgbs.loopio.com/library?entry=10013867]
10072387.md,Azure Implementation for Global Industrial Infrastructure Firm,"Global industrial infrastructure firm (designs, planning, engineering, consulting and construction management solutions)","Industrial Infrastructure, Engineering & Construction Consulting","Microsoft Azure Platform, Azure Data Factory, Azure DevOps, GitHub CI/CD, Salesforce","IBM delivered an Azure platform using infrastructure as code (IaC), Azure pipelines, and CI/CD capabilities via Azure DevOps and GitHub. The solution migrated 40+ million documents into Azure Data Factory, transformed and enriched the data, and added connectivity to other SaaS vendors such as Salesforce using Node.js. This enabled automated ingestion of PDFs into the Azure platform, improving business agility, compliance, audit controls, and overall data governance.","[Improved business agility, Enhanced compliance and audit controls, Better data governance and compliance records]",[https://ibmgbs.loopio.com/library?entry=10072387]
10072388.md,Reproducible Analytical Pipelines for a Global Client‚  Front‚ Office Team,Global Client (unnamed),"Finance, Front‚ Office Operations","Azure Data Factory, Azure Synapse Analytics, Azure Databricks, R Shiny, MLOps, Power BI","We built reproducible analytical pipelines and an analytics platform for a global client‚  front‚ office team covering 150 pipelines on an Azure-based data platform. The solution leveraged Azure Data Factory, Synapse, Databricks, R Shiny, and MLOps capabilities to transform data end‚ to‚ end. Reusable Python notebooks curate and audit the data, ready for consumption. Visualizations were delivered via a permissions‚ based Power BI dashboard that exposed user dataset activity through APIs. The asset (US patent pending) is offered as a service.","[Reduced analytical product development time by 50%, Offered as an ‚Äúas‚ a‚ service‚Äù solution]",[https://ibmgbs.loopio.com/library?entry=10072388]
10072389.md,Basic Check ‚Äì Award‚ winning online criminal record check service,Disclosure and Barring Service (DBS),"Government, Public Sector Digital Services","GOV.UK Notify, GOV.UK Verify, GOV.UK Pay","IBMGBS designed and implemented the Basic Check service for the Disclosure and Barring Service, an online criminal record check platform that achieved GDS‚  ‚Äòexemplar‚Äô rating. The project incorporated all 14 Government Digital Service (GDS) Service Standards, used iterative sprint cycles with shadow assessments, prototyping, user‚ testing, and integrated GOV.UK Notify, Verify and Pay to deliver a seamless user experience. Launched in 2018, the service now serves approximately 1,000 users daily.","[Achieved GDS ‚Äòexemplar‚Äô rating, First service to combine GOV.UK Notify, Verify and Pay, Supports 1,000 daily users, Demonstrated deep knowledge of government digital standards]",[https://ibmgbs.loopio.com/library?entry=10072389]
10072391.md,Searchlight Handover at DWP,Department for Work and Pensions (DWP),"Public Sector, Government Services",,"At DWP we handed over Searchlight, a digital front end for the Customer Information System, to 90,000 DWP users to manage 65m+ National Insurance records. Knowledge sharing to the 15 FTE DWP team was done through a co‚ creation approach with joint Scrum teams, a 1:1 IBM/DWP mentoring model that developed less-experienced staff and two-in-a-box roles. We created systems-specific topic guides, scripts and ran immersive knowledge transfer workshops explaining how the system was managed, monitored, maintained and enhanced.","Collaborative upskilling was extremely successful, enabling full transition of responsibilities. DWP took on the product and service delivery, achieving an award-winning service.",[https://ibmgbs.loopio.com/library?entry=10072391]
10072392.md,UK Health Security Agency Wastewater-Based Epidemiology Capability Roadmap,UK Health Security Agency (UKHSA),"Public Health, Government Surveillance",,"With ACE, Home Office‚  innovation accelerator, we baselined UK Health Security Agency‚  wastewater-based epidemiology capability, developing a 24-month roadmap to scale the service. We worked with a diverse ecosystem of senior officials, users, data scientists, SMEs, universities, UK/international IoT start-ups, Water UK, UKHSA, Home Office and Local Authorities to define the optimal business and technical capabilities, architecture, operating model, supplier landscape and policy regime to roll‚ out a national water surveillance capability and data platform.","A 24-month roadmap detailing retained organisational capabilities, tech stack, commercial model, delivery KPIs and recommendations for the 2024 Ofwat Price Review.",[https://ibmgbs.loopio.com/library?entry=10072392]
10072393.md,UKHSA‚  Enterprise Data & Analytics Platform,UK Health Security Agency (UKHSA),"Public Sector, Healthcare, Public Health",,"We are developing UKHSA‚  Enterprise Data & Analytics Platform as the strategic Technical Delivery Partner, consolidating key Public Health data platforms established prior and during the pandemic to a single Public Health protection and surveillance platform comprising 80 processes. IBM analysed, mapped and transferred over 260 data feeds, preparing to model over 150 data sets into a single 50TB de-duplicated data set, building data pipelines, documenting 25‚ 50 data artefacts, establishing data governance, and maturing management processes. This forms part of a roadmap to master the data, establish clear data governance, policies, standards, and controls to fulfil statutory responsibilities.","[Consolidation of 80 public health processes into one platform, Integration of 260 data feeds and modeling of 150+ datasets into a single 50TB deduplicated dataset, Creation of 25‚ 50 documented data artefacts, Implementation of data governance framework and mature management processes]",[https://ibmgbs.loopio.com/library?entry=10072393]
10072394.md,Experience of migrating from a legacy platform using agile project management into a product that meets GDS Standards and gov.uk design patterns.,Insolvency Service,"Government, Public Sector","Azure, Dynamics 365, Data Factory, SQL Server, Key Vault, Blob Storage, Container Services","The Insolvency Service migrated its Redundancy Payments process to a new Azure‚ based digital platform. The migration leveraged Azure services, Dynamics †365 and container services for data migration, integration and case management. Challenges such as data integration, security, scalability and cost optimisation were addressed using Azure Data Factory, SQL Server, Key Vault and Blob Storage. Agile/DevOps practices aligned with GDS standards guided the delivery, including a single integrated Kanban board and agile ceremonies to prioritise work.","[Migrated approximately 500k contacts, 500k claims, 1.6m payments and 2.8m documents, Enabled processing of 4x more claims using the new product]",[https://ibmgbs.loopio.com/library?entry=10072394]
