Title,Company,Industry,Clouds Implemented,Description,Outcomes,Links
Streamlining Lead Data Collection,2-10 Home Buyers Warranty,Financial Services,Sales Cloud,"Specialized in home warranties, the company faced fragmented lead data and poor analytics. IBM implemented Sales Cloud to unify lead sources and apply analytics for budget optimization.",Improved lead channel visibility; enhanced partner sourcing; better budget allocation across channels.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr7
CRM & Experience Transformation,GreatAmerica Financial Services,Financial Services,"Experience Cloud, Sales Cloud, Service Cloud",Commercial equipment finance firm needed automation and scalability. IBM delivered a unified CRM with automation-first strategy and seamless UX.,Reduced manual interventions; scalable solution delivery; improved employee productivity and customer experience.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr8
Merchant Portal Innovation,Snap Finance,Financial Services,"Experience Cloud, Service Cloud","Consumer finance firm lacked a branded merchant experience. IBM built a portal with onboarding automation, forecasting, and learning tools.",Enabled enterprise-scale selling; improved merchant satisfaction; streamlined onboarding and training.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr9
UX Strategy for Real Estate,Brookfield,Financial Services – Real Estate,Strategy Only (Experience Cloud planned),Brookfield’s leasing agents struggled with fragmented systems. IBM designed a UX strategy to consolidate data access and improve deal cycles.,Anticipated reduction in sales cycle duration; increased employee satisfaction; improved revenue potential.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr10
Agent Experience Overhaul,New York Life,Financial Services,Experience Cloud (Sales & Service Cloud existing),"Legacy agent portal lacked usability. IBM implemented a consolidated portal with calendaring, policy archives, and customer data.",Faster onboarding; improved agent productivity; enhanced customer interactions across channels.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr11
Partner Portal Modernization,Pentair,Manufacturing,"Experience Cloud, Sales Cloud, Service Cloud, Platform",Water solutions manufacturer needed a scalable partner portal. IBM delivered a branded template and outsourced maintenance.,Reduced support costs; scalable portal reuse; improved partner engagement and satisfaction.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr12
Customer Community Revamp,Blue Yonder,Manufacturing,"Experience Cloud, Sales Cloud, Service Cloud, Platform","Software consultancy needed to modernize an 8-year-old community. IBM redesigned UX, added training, and migrated search tools.",Enhanced onboarding; reduced technical debt; improved customer self-service and engagement.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr13
Consolidated PRM for Partners,AMD,High Tech / Manufacturing,Experience Cloud,"AMD’s partner UX was fragmented. IBM built a branded PRM portal with self-service for returns, warranties, and inventory.",Streamlined partner operations; improved engagement; reduced friction in partner interactions.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr14
Data-Driven Employee Experience,Columbia University,Higher Education,Experience Cloud,Ivy League research institution needed unified data and analytics. IBM built a workspace to improve communication and decision-making.,Improved executive visibility; better donation targeting; measurable progress tracking.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr15
Student Admissions Experience,MyComputerCareer,Education,Experience Cloud,Technical college lacked centralized onboarding. IBM implemented branded student portal with progress tracking and advisor scheduling.,Increased applicant conversion; simplified registration; improved enrollment and revenue.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr16
Holistic IT Strategy,Brinks,Consumer Goods,N/A,Security firm needed scalable IT strategy. IBM reengineered warehouse operations and automated logistics.,Improved operational efficiency; scalable growth; enhanced logistics and process automation.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr17
Headless B2C Commerce Launch,Mulberry,Retail,"B2C Commerce, Service Cloud, Marketing Cloud",Luxury brand needed to modernize commerce. IBM implemented Salesforce Headless B2C Commerce integrated with existing clouds.,First UK headless B2C launch; improved digital experience; scalable multi-site rollout.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr18
Marketplace for Energy Collaboration,Energy Systems Catapult,Nonprofit (Energy Sector),Experience Cloud,UK innovation group needed a platform for local energy projects. IBM built a marketplace for collaboration and investment tracking.,Enabled stakeholder collaboration; improved project visibility; supported net-zero goals.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr19
Disaster Relief Enablement,American Red Cross,Nonprofit,"Experience Cloud, Service Cloud",Humanitarian org needed scalable disaster response. IBM built a platform for faster aid requests and support delivery.,Accelerated financial aid processing; streamlined disaster recovery; improved constituent support.,https://ibm.box.com/s/9v8vqompcerw09xzgjgho9goyez4byr20
IBM Accelerates Onboarding and Boosts Sales Efficiency for Dormakaba,Dormakaba,Manufacturing,"Sales Cloud, Agentforce",IBM implemented a Sales Coach Agent integrated into the Opportunity page to guide sales executives using dormakaba’s documentation. The copilot feature enables direct queries for consistent selling.,Reduced sales executive training time; embedded institutional knowledge; improved opportunity management and supplier interaction consistency.,https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi9
IBM Transforms Pricing Strategy for Pfizer,Pfizer,Healthcare and Life Sciences,"Sales Cloud, Agentforce","IBM delivered an AI Assistant to automate pricing workflows, retrieving historical bid data and providing contextual recommendations.",Reduced manual effort and errors; improved pricing accuracy and transparency; embedded institutional knowledge; faster bid turnaround.,https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi10
GSA Optimizes Call Center Efficiency,General Services Administration (GSA),US Federal,"Service Cloud, Agentforce","IBM implemented a solution to summarize inbound communications and knowledge materials, improving case resolution speed and accuracy.","10% increase in call center capacity; over 2,000 hours saved annually; improved customer experience and agent productivity.",https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi11
IBM Reimagines Procurement for Salesforce,Salesforce,Technology,"Agentforce, integrated with Coupa, Quip, Confluence, Basecamp, S360","IBM developed AskProcurement to centralize supplier status, PR/PO info, and policy guidance, streamlining procurement workflows.",4–6 point satisfaction improvement; 50–60% reduction in PR-to-PO cycle time; 75% improvement in policy access and guidance.,https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi12
IBM Transforms Partner Support for Brother,Brother International Australia,Manufacturing,"Service Cloud, Agentforce",IBM replaced manual partner support with a chat-driven AI workflow that parses product manuals and triggers defect forms/orders.,Significant reduction in resolution time; improved partner experience; increased operational efficiency by removing manual validation.,https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi13
IBM and OMV Automate Order Management,OMV,Energy & Utilities,"Service Cloud, Agentforce","IBM deployed an Agentforce Service Agent to interpret emails and attachments, classify content, and generate orders in real time.",Reduced manual processing; improved data accuracy and consistency; faster response times for order requests.,https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi14
IBM Helps Flender Enhance Customer Service,Flender,Manufacturing,"Service Cloud, Agentforce","IBM implemented a Service Agent to automate case handling, streamline email routing, and provide instant pricing recommendations.",Reduced response time; improved agent productivity; enhanced customer satisfaction with personalized service.,https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi15
IBM and Santander Boost Contact Center Performance,Santander,Financial Services,"Service Cloud, Agentforce","IBM implemented a Service Agent to retrieve real-time answers from 30+ PDFs, enabling faster responses to branch queries.",Faster response times; increased agent productivity; improved accuracy and consistency of information provided to sales teams.,https://ibm.box.com/s/81fg1ncuj22pxq7gd1smicccub060mi16
Unified modular approach to accelerate the time to market,NA,NA,"Sales Cloud, Service Cloud, Experience Cloud, Commerce Cloud, Platform","eCommerce-centric core model integrated with business solutions (pricing, stock). Replaces fragmented systems with a shared modular platform.",Reduced time to market from 2 years to a few days.,Waeg References General.pptx
Increase loyalty of independent pharmacies,NA,Healthcare,"Commerce Cloud, Sales Cloud, Service Cloud, Platform","Salesforce platform used to connect with independent pharmacies, improve service levels, and drive cross-selling.","+50% orders, +250% conversion, +350% revenue, +150% user growth.",Waeg References General.pptx
Modernize global web stores for cleaning industry,Nilfisk,Manufacturing,Commerce Cloud,"Multi-language, multi-currency storefront with real-time SAP pricing and PIM integration.","Enhanced customer interaction, improved marketing tools, and analytics.",Waeg References General.pptx
Solvay SpP eCommerce transformation,Solvay,Chemicals,"Commerce Cloud, Sales Cloud, Service Cloud, Experience Cloud, Marketing Cloud Account Engagement",Migrated small-volume orders to scalable online solution. Integrated with CRM and marketing automation.,"Improved service for small customers, reduced manual effort, increased scalability.",Waeg References General.pptx
Launch B2B wine & spirits sales,Moët Hennessy,Beverages,"Commerce Cloud, Experience Cloud",First-time online B2B sales for hospitality clients. Offline/online hybrid cart and payment process.,"Enabled scalable B2B sales, improved customer experience.",Waeg References General.pptx
Dawn Foods EU rollout,Dawn Foods,Food Manufacturing,"Commerce Cloud, Sales Cloud, Service Cloud, Experience Cloud, Marketing Cloud Account Engagement",Multi-region B2B store with localized branding and ERP integration.,Foundation for rapid EU rollout; improved scalability.,Waeg References General.pptx
Marketing automation for 11 countries,Dawn Foods,Food Manufacturing,"Marketing Cloud Engagement, Sales Cloud, Service Cloud",Centralized platform for GDPR-compliant campaigns and training.,Enabled self-sufficiency; improved campaign delivery.,Waeg References General.pptx
Carrier Transicold spare parts portal,Carrier,Manufacturing,"Commerce Cloud, Service Cloud, Experience Cloud",Unified platform for public and key accounts. Replaced legacy ordering tool.,Faster order response; improved customer experience.,Waeg References General.pptx
Roland-Garros ticketing transformation,Roland-Garros,Hospitality,"Commerce Cloud, Sales Cloud, Service Cloud, Experience Cloud, Marketing Cloud Account Engagement",B2B ticketing and lounge sales with hybrid cart/payment model.,First-time B2B online sales; streamlined process.,Waeg References General.pptx
Takeda campaign enablement,Takeda,Pharmaceutical,"Marketing Cloud Engagement, Veeva CRM",Centralized campaign team and playbook for EUCAN regions.,"Improved platform usage, governance, and campaign support.",Waeg References General.pptx
Danone eShop for professionals,Danone,Food Manufacturing,"Commerce Cloud, Experience Cloud",API-only Adyen integration; high-quality B2B/B2C design.,Increased access to products; improved professional engagement.,Waeg References General.pptx
Spare parts portal for hospitals,NA,Healthcare,Commerce Cloud,24/7 webshop with next-day delivery.,MVP launched; expanded to DACH + NEZ regions.,Waeg References General.pptx
Volvo CE multi-storefront portal,Volvo CE,Manufacturing,Commerce Cloud,"Hardware, software, and used parts storefronts with dealer admin portal.","Improved billing accuracy, faster order cycles, better customer loyalty.",Waeg References General.pptx
Zuora-integrated eCommerce platform,NA,High Tech,Commerce Cloud,Custom storefront with partner-specific purchase rules.,Enabled flexible partner access; improved product visibility.,Waeg References General.pptx
Kongsberg B2B Lightning rollout,Kongsberg,Manufacturing,"Commerce Cloud, Experience Cloud","Integrated storefront with SSO, shipping logic, and dealer experience.",+60 orders on day one; x2 faster checkout; x4 easier back-office maintenance.,Waeg References General.pptx
Interxion strategic CRM partnership,Interxion,Data Center Services,"Sales Cloud, CPQ, Service Cloud, Finance Force",Continuous improvement team; strategic guidance and architecture.,Sole Salesforce partner; improved CRM value realization.,Waeg References General.pptx
Solvay SRM platform,Solvay,Chemicals,"Commerce Cloud, Sales Cloud, Service Cloud, Experience Cloud, Marketing Cloud Account Engagement, Platform",Agile supplier portal with SAP integration and contract management.,Streamlined onboarding; improved procurement visibility.,Waeg References General.pptx
Royal FrieslandCampina SRM,Royal FrieslandCampina,Food Manufacturing,"Commerce Cloud, Sales Cloud, Service Cloud, Experience Cloud, Marketing Cloud Account Engagement, Platform","Configurable SRM with feedback, risk templates, and analytics.",Improved supplier relationships; centralized data insights.,Waeg References General.pptx
Bridgestone Mobility Field Service,BMS,Automotive,"Service Cloud, Field Service, Experience Cloud",Dispatcher-managed work orders with mobile app execution.,Enhanced visibility; reduced manual errors.,Waeg References General.pptx
bioMérieux Customer Portal,bioMérieux,Healthcare,Experience Cloud,Portal for 1000 customers and 150 distributors.,43% orders via portal; 98% satisfaction; -2 FTEs in India.,Waeg References General.pptx
OMV CX transformation,OMV,Energy,"Sales Cloud, Experience Cloud, Service Cloud",Multichannel CX platform with ticketing and mobile apps.,Improved lifecycle experience; operational excellence.,Waeg References General.pptx
Transforming Patient Access & Engagement with a Salesforce-Powered Digital Platform​,NA,Life sciences,Health Cloud,"IBM partnered with a major Pharmamanufacturer to create an omni-channelplatform powered by Salesforce HealthCloud to connect patients, caregivers, HCPsand HUB providers and help with PatientAccess of Specialty drugs acrossImmunology, Oncology, Neuroscience andCVM therapeutic areas​      Drivers:  Delivering personalized care through astate-of-the-art digital platform withintegrated provider and patient portalsbecame a key differentiator in fosteringpatient intimacy within a highly competitivemarket.​  Objectives:  Create channels for real-timetransactions between patients, HCPs andHUB​  Accelerate patient access and approvalfor manufacturer products​  Enable seamless integrations with theecosystem to help paint a patient 360view of treatment journey ","IBM’s platform, has been in use for the last 8 years and is considered the best in the industry for program effectiveness, HCP and patient satisfaction. The most tangible benefits are. ​30% operations cost efficiencies due to automation and digital channels use.​  High patient and HCP CSAT​  Improved patient Adherence.     3M live patients, 12K US Providers",LS Case Studies copy.pptx
"A Secure, Scalable, and Data-Driven Participant Management Solution​",NA,Life Sciences,Health Cloud,"Our client: 
A leading U.S. health research
organization partneredwith
IBM to develop a secure, HIPAA-compliantplatform for managing participant engagement in anationwide precision medicine initiative.​
​Drivers:​
The organization required a HIPAA-compliant,highly secure, and scalable digital platform toefficiently manage participant enrollment,engagement, and retention while ensuringseamless integration with multiple researchsystems. The solution needed to support securedata exchange, streamline participantinteractions, and provide real-time analytics forresearchers.
​Objectives:​
·           Implement a Salesforce Health Cloud-poweredplatform to enhance participant managementand engagement. 
·          
Ensure HIPAA compliance and FedRAMP Highsecurity standards using Salesforce Shield andSalesforce Gov Cloud+. ​
·          
Enable automated, personalized participantcommunication via Salesforce Marketing Cloud(SFMC).​
""Designed and implemented a secure, HIPAA-compliant
Salesforce Health Cloud platform, serving as the
organization’s centralized system for participant
management. ​

Developed key Salesforce-powered portals and websites to
enhance user engagement: ​

Participant Portal (Salesforce Experience Cloud) – Allows
participants to manage profiles, complete surveys and
consents, and order biosample kits.​

Staff Portal (Salesforce Experience Cloud) – Enables
partner site staff to schedule appointments, log
participant interactions, and track study milestones.​

Public Websites – Serve as educational and recruitment
platforms for potential study participants.​

Integrated Salesforce Marketing Cloud (SFMC) to automate
and personalize participant communication through email
and SMS, improving engagement and study retention.​

Leveraged MuleSoft’s Anypoint Platform to facilitate real-
time data exchange between Salesforce, Qualtrics,
HealthPro, DNA Genotek, AWS, and other critical research
systems.​

Implemented Salesforce Shield to enhance security,
compliance, and audit controls, ensuring the platform
meets strict regulatory requirements. ​

Enabled AI-powered analytics with CRM Analytics,
providing researchers with real-time visibility into
participant data, engagement levels, and study metrics.""","1M enrolled.   Rapid Development & Deployment: Employed
Agile model, to achieve MVP, and nationwide
authorization to operate (ATO), within 12 months. ​

​

Enhanced Operational Efficiency: Reduced
initial treatment timelines and operational costs
by streamlining participant and care
administration workflows.​

​

Seamless Participant & Staff Experience ​

​

Personalized & Automated Multi-Channel,
Compliant Engagement ",LS Case Studies copy.pptx
 AI-Driven Marketing Transformation for a Global Diabetes Care Leader​,NA,Life sciences,Marketing Cloud,"Our Client: ​

A global leader in diabetes care technology partnered
with IBM to optimize their marketing operations using
Salesforce Marketing Cloud (SFMC). The company
sought to enhance engagement with three key
audiences: consumers, healthcare professionals (HCPs),
and payers.​

​

Drivers:​

The client faced two primary challenges:​

Effective Communication & Engagement: They
needed a streamlined strategy to showcase product
innovations and maximize engagement throughout the
patient treatment journey.​

Optimized Marketing Execution: Distributed
campaign operations resulted in inefficiency and a
higher costs envelope, necessitating a unified, data-
driven approach to improve marketing effectiveness,
costs, and performance​

​

Objectives:​

Unify and streamline marketing operations through
Salesforce Marketing Cloud. ​

Expand audience engagement by integrating SMS
and multi-channel marketing strategies. ​

Improve campaign performance through data-driven
personalization and automation. ​

Enhance data quality to ensure higher deliverability
and engagement rates.​   IBM implemented a comprehensive transformation of
the client's marketing operations, centralizing efforts
within Salesforce Marketing Cloud to drive efficiency
and effectiveness. Key solution component included:​

​

Marketing Automation & Centralization: Consolidated
all email communications into Salesforce Marketing
Cloud, enabling a single, streamlined tech stack for
marketing execution.​

Omnichannel Expansion: Extended outreach by
integrating SMS marketing, allowing for a broader
and more effective multi-channel engagement
strategy.​

Data Quality Enhancement: Cleaned and optimized
contact lists, improving email deliverability and
reducing bounce rates, ensuring messages reached
the right audience.​

Operational Efficiency & Workflow Optimization:
Leveraged automation capabilities within SFMC to
refine campaign execution processes, reducing
delays and enhancing speed-to-market.​

Creative & Content Alignment: Collaborated with
digital agencies to create a unified visual identity
across social, digital, email, SMS, and web
campaigns.","30%+ reduction in campaign execution time,
improving speed-to-market.​

42% increase in engagement due to
personalization and experiential campaign
strategies.​

8-10% improvement in email deliverability,
maximizing audience reach.​

Unified marketing approach across social, digital,
email, SMS, and web for consistent branding and
communication.​

​

By partnering with IBM, the client successfully
transformed its marketing operations, improving
campaign efficiency, engagement, and overall brand
impact. With Salesforce Marketing Cloud at the core,
the company now executes high-performing, data-
driven marketing campaigns that enhance engagement
with consumers, HCPs, and payers, ultimately
supporting better patient care and brand growth.​",LS Case Studies copy.pptx
Caixa Bank AI Service Success,Caixa Bank,"Banking, Financial Services","Financial Services Cloud, Service Cloud, Agentforce","As its customer base grows, Caixa bank saw a large increase in support requests, and needed to build a system that could effectively scale and route inquiries. CaixaBank first chose Salesforce as its new platform of choice due to Salesforce’s high potential to scale and innovate, and its multicloud approach that extends beyond the contact center.           Building off its prior work with IBM Watson® technology, IBM® Consulting was the natural partner to work on this transformation because of both its Salesforce and IBM expertise. The transformation needed to accomplish three things: efficiently manage the contact center, unify customer service channels and unify their technology platform—all with a focus on improving user experience.        Through the Salesforce platform, CaixaBank now provides employees with the right tools and information to make the best recommendations and build customer relationships. The bank incorporated AI, including IBM Watson agent-facing chatbots to offset basic inquiries, escalate to live agents when appropriate and surface answers during customer interaction to reduce case time to resolution. ​

To improve back-office productivity, automated workflow processes create consistent customer service journeys while reducing redundant workload for agents. For more straightforward requests, IBM Watson and machine learning with natural language processing enables support channels to provide nearly two million answers each month. ​

Solution includes IBM Consulting and","Consolidation​
50+ service phone numbers condensed to 1 number​

High processing capacity​
IBM Watson responds to inquiries, providing over 2 million answers each month",first-call-deck-enterprise-salesforce-transformation 101525.pptx
Driving enhanced customer service with agenti. AI,Camping World,Hospitality,Service Cloud,"Camping World relies heavily on its contact centers to deliver unmatched customer service, but a surge in customers revealed some issues in its existing infrastructure. With its customers unable to reach a live human agent during call center off-hours, the retailer was forced to rethink its infrastructure, its lack of visibility and its functionality gaps. With customer interactions as the focal point, Camping World looked to IBM® Consulting to modernize its contact centers and invest in a new infrastructure to improve processes and workflow automation. The solution, powered by IBM watsonx Assistant, was deployed across all the web properties, increasing the coverage of questions and telephone capabilities. Following the implementation, customer engagement rates have trended upwards significantly, and the number of dropped conversations has decreased. ​

Customers are experiencing shorter wait times and faster responses, and agent efficiency has dramatically improved. ​

​

","Increased customer engagement​
As of March 2022, customer engagement increased 40% on all platforms​

Shorter wait times​
Agent efficiency has increased 33% and wait times have decreased to 33 seconds overall",first-call-deck-enterprise-salesforce-transformation 101525.pptx
Service Contract growth and management,Evident,Financial Services,"Financial Services Cloud, Service Cloud","Evident had gaps to close in the efficiency of its service operations. At the root of it all was a lack of visibility caused by disjointed data and manual, outdated processes. The Salesforce Practice of IBM Consulting™ proposed a unified platform—built on the Field Service module of the ​
Salesforce Service Cloud solution—through which the Evident service team could manage all ser-vice requests from first contact through to billing.  Central to IBM’s proposed delivery strategy was the application of the agile, design-thinking principles embodied by the IBM Garage™ methodology. The transformation of Evident’s service and support operations has turned a point of vulnerability into a key differentiator.","15%​
The new Salesforce solution increased the productivity of support engineers and team leads by over 15%​

25%​
Evident increased the number of existing customers under service contract by more than 25%",first-call-deck-enterprise-salesforce-transformation 101525.pptx
AI Driven Loyalty marketing,MOL Group,Retail and Oil and Gas,"Marketing Cloud, Loyalty Cloud, Data Cloud","MOL Group made the bold decision to relocate its retail activities from Downstream Operations to a new division focused on service innovation. Top management had recognized that the digital and mobile technology were fundamentally changing consumer behavior and, in the process, creating strategic opportunities in retail. The product of this co-creation effort is an integrated omnichannel marketing solution employing the full portfolio of Salesforce components. An IBM team worked closely with the Digital Factory to help MOL Group establish new marketing and loyalty practices. Within two years of the new app’s introduction, customer downloads are on course to exceed 1.4 million.","Increased Revenue​
Drove an average revenue uplift of 15%—30% through enhanced digital engagement​

Improved CSAT​
Achieved customer satisfaction levels >20% higher than competitors",first-call-deck-enterprise-salesforce-transformation 101525.pptx
Expereince Driven Purchasing on Salesforce,Tag Heuer,Retail,"Sales Cloud, Service Cloud, Experience Cloud, Commerce Cloud, Platform","For years, TAG Heuer had been using Salesforce CRM to manage its relationships with retailers and other business-to-business partners. As it undertook its consumer transformation strategy, the watchmaker’s leadership in Switzerland and France determined it would be most effective to leverage the Salesforce cloud platform for consumer engagement.  To help navigate both the technical and experiential side of the Salesforce equation, TAG Heuer enlisted IBM iX® global digital transformation and customer experience design consultancy for its combined expertise in Salesforce integration, design thinking and retail-industry knowledge. Working with IBM iX consultants, TAG Heuer built a new guided purchasing experience in a matter of weeks.","Enhanced time-to-market​
Developed a new online purchasing journey within 3 weeks    ​

Personalization​
Delivered more personalized services, helping drive 3x growth.          As more data and automation become available, TAG Heuer can reach owners and customers in new ways.​

Pandemic or not, the results have been remarkable. In 2020, the company saw triple-digit growth.",first-call-deck-enterprise-salesforce-transformation 101525.pptx
Massive Patient Vaccination Orchestration,NHS,Government,"Service Cloud, Platform","In early 2020, with hospitals around the UK in danger of becoming overrun, the UK government recognized the need to act. The ability to then take prompt action to control the spread of the virus on the back of positive results was central to breaking the chain of transmission. The longer the time required to process the results, the greater the potential for virus transmission.    IBM delivered a Salesforce platform that enabled the UK Health Security Agency to rapidly deploy solutions such as the International Arrivals Service, the Managed Quarantine Service and a web portal for private test providers. IBM® Consulting - Hybrid Cloud Services formed a joint, multidisciplinary team to build a software as a service integration platform to process all COVID-19 test results for onward contact tracing.","Reduced processing time​
Reduced processing time for ​
COVID-19 test results from 8 hours to 16 minutes enabling faster contact tracing​

Increase processing rate​
Processes COVID-19 tests at a rate of more than 1 million per day, or as many as 300 per second",first-call-deck-enterprise-salesforce-transformation 101525.pptx
IBM at the GRAMMYs,The Recording Academy,"Music, Entertainment",Platform,"The Recording Academy partnered with IBM Consulting to modernize its digital operations and deliver a more streamlined, personalized experience for nearly 24,000 members using Salesforce. Additionally, IBM introduced GRAMMY IQ, an AI-powered interactive quiz built with watsonx to engage millions of music fans before, during, and after the GRAMMY Awards.","Enhanced member experience through Salesforce personalization; Engaged millions of fans with AI-driven digital experiences; Positioned the Recording Academy for a modernized, data-driven future",https://www.ibm.com/sports/grammys
BPI achieves its Signature Selling Process thanks to Salesforce and IBM,Bank of the Phillippine Islands,"Banking, Financial Services","Financial Services Cloud, Service Cloud","The Bank of the Philippine Islands (BPI) transformed their business for the better using Salesforce Financial Services Cloud under the guidance of IBM. By reinventing fourteen lines of business—across sales, service, and support—BPI achieved their “Signature Selling Process.” This best-in-class sales experience benefits both customers and BPI employees and has led to an 80% growth in virtual store sales year over year since IBM began the project. Rather than a simple migration, this Salesforce implementation has allowed BPI to redefine their approach to functions such as call center support and chatbot assistance. Already, over 4,500 employees (1/5 of all BPI personnel) are newly enabled to better serve the bank’s customers thanks to the power of collaboration between BPI, Salesforce, and IBM.","80%
Growth in virtual store sales YoY, 4500+
Employees enjoy enhanced user experience,  14
Business lines successfully transformed",https://w3.ibm.com/consulting/contentplus/wow-stories/67dddbea50b770f1d1684330
